map_name,ID,Scientific_name,Family,original_matrix_name,matrix_name,publication_name,height,length,width,ratio
abutilon_angulatum.shp,1367,Abutilon_angulatum,Malvaceae,Abutilon_angulatum_OM1934,Abutilon_angulatum_OM1934,Abutilon_angulatum_(Guill._&_Perr.)_Mast.,3.5,30,25,1.2
abutilon_sonneratum.shp,1369,Abutilon_sonneratium,Malvaceae,Abutilon_sonneratianum_LTM034,Abutilon_sonneratianum_LTM034,Abutilon_sonneratianum_(Cav.)_Sweet,2,10,7,1.43
acacia_adenocalyx.shp,679,Acacia_adenocalyx,Fabaceae,Acacia_adenocalyx_OM2439,Acacia_adenocalyx_OM2439,Acacia_adenocalyx_Brenan_&_Exell,5,0.35,0.075,4.67
acacia_amythethophylla.shp,680,Acacia_amythethophylla,Fabaceae,Acacia_amythethophylla_RL1314,Acacia_amythethophylla_RL1314,Acacia_amythethophylla_A.Rich.,15,1.1,0.4,2.75
acacia_arenaria.shp,681,Acacia_arenaria,Fabaceae,Acacia_arenaria_OM1048,Acacia_arenaria_OM1048,Acacia_arenaria_Schinz,9,0.4,0.1,4
acacia_ataxacantha.shp,682,Acacia_ataxacantha,Fabaceae,Acacia_ataxacantha_RL1326,Acacia_ataxacantha_RL1326,Acacia_ataxacantha_DC.,10,0.5,0.15,3.33
acacia_borleae.shp,684,Acacia_borleae,Fabaceae,Acacia_borlea_OM1902,Acacia_borlea_OM1902,Acacia_borleae_Burtt_Davy,5,0.65,0.2,3.25
acacia_brevispica_dregeana.shp,685,Acacia_brevispica_subsp._dregeana,Fabaceae,Acacia_brevispica_RL1333,Acacia_brevispica_RL1333,Acacia_brevispica_Harms,8,1,0.1,10
acacia_burkei.shp,686,Acacia_burkei,Fabaceae,Acacia_burkei_RL1479,Acacia_burkei_RL1479,Acacia_burkei_Benth.,30,2,1.3,1.54
acacia_caffra.shp,687,Acacia_caffra,Fabaceae,Acacia_caffra_RL1335,Acacia_caffra_RL1335,Acacia_caffra_(Thunb.)_Willd.,8,0.7,0.15,4.67
acacia_chariessa.shp,688,Acacia_chariessa,Fabaceae,Acacia_chariessa_MvdB2158,Acacia_chariessa_MvdB2158,Acacia_chariessa_Milne-Redh.,3,0.8,0.4,2
acacia_davyi.shp,690,Acacia_davyi,Fabaceae,Acacia_davyi_RL1315,Acacia_davyi_RL1315,Acacia_davyi_N.E.Br.,3,0.5,0.1,5
acacia_dyeri.shp,693,Acacia_dyeri,Fabaceae,Acacia_dyeri_RL1309,Acacia_dyeri_RL1309,Acacia_dyeri_P.P.Sw._ex_Coates_Palgr,1,0.8,0.3,2.67
acacia_eriocarpa.shp,696,Acacia_eriocarpa,Fabaceae,Acacia_eriocarpa_MvdB2157,Acacia_eriocarpa_MvdB2157,Acacia_eriocarpa_Brenan,6,1.8,0.9,2
acacia_erioloba.shp,697,Acacia_erioloba,Fabaceae,Acacia_erioloba_RL1298,Acacia_erioloba_RL1298,Acacia_erioloba_E.Mey.,16,1.3,0.4,3.25
acacia_erubescens.shp,698,Acacia_erubescens,Fabaceae,Acacia_erubescens_OM780,Acacia_erubescens_OM780,Acacia_erubescens_Oliv.,10,0.75,0.2,3.75
acacia_exuvialis.shp,699,Acacia_exuvialis,Fabaceae,Acacia_exuvialis_OM260,Acacia_exuvialis_OM260,Acacia_exuvialis_Verd.,4.5,1,0.45,2.22
acacia_fleckii.shp,701,Acacia_fleckii,Fabaceae,Acacia_fleckii_RL1328,Acacia_fleckii_RL1328,Acacia_fleckii_Schinz,10,0.5,0.1,5
acacia_galpinii.shp,702,Acacia_galpinii,Fabaceae,Acacia_galpinii_RL1304,Acacia_galpinii_RL1304,Acacia_galpinii_Burtt_Davy,25,1.1,0.3,3.67
acacia_gerrardii_gerrardii.shp,703,Acacia_gerrardii_subsp._gerrardii_var._gerrardii,Fabaceae,Acacia_gerrardii_OM315,Acacia_gerrardii_OM315,Acacia_gerrardii_Benth.,8,0.75,0.2,3.75
acacia_goetzei_goetzei.shp,704,Acacia_goetzei_subsp._goetzei,Fabaceae,Acacia_goetzii_goetzii_RL1322,Acacia_goetzii_goetzii_RL1322,Acacia_goetzei_subsp._microphylla_Brenan,15,1.7,0.7,2.43
acacia_goetzei_microphylla.shp,705,Acacia_goetzei_subsp._microphylla,Fabaceae,Acacia_goetzei_microphylla_RL1320,Acacia_goetzei_microphylla_RL1320,Acacia_goetzei_subsp._goetzei_Harms,15,1.7,0.3,5.67
acacia_grandicornuta.shp,706,Acacia_grandicornuta,Fabaceae,Acacia_grandicornuta_RL1286,Acacia_grandicornuta_RL1286,Acacia_grandicornuta_Gerstner,10,1,0.4,2.5
acacia_hebeclada_chobiensis.shp,708,Acacia_hebeclada_subsp._chobiensis,Fabaceae,Acacia_hebeclada_cheboensis_OM1034,Acacia_hebeclada_cheboensis_OM1034,Acacia_hebeclada_subsp._chobiensis_Schreib.,7,0.7,0.2,3.5
acacia_hebeclada_hebeclada.shp,709,Acacia_hebeclada_subsp._hebeclada,Fabaceae,Acacia_hebeclada_hebeclada_RL1317,Acacia_hebeclada_hebeclada_RL1317,Acacia_hebeclada_subsp._hebeclada_DC.,7,0.7,0.2,3.5
acacia_hebeclada_tristis.shp,710,Acacia_hebeclada_subsp._tristis,Fabaceae,Acacia_heboclada_tristis_OM1049,Acacia_heboclada_tristis_OM1049,Acacia_hebeclada_subsp._tristis_A.Schreib.,7,0.7,0.2,3.5
acacia_hereroensis.shp,711,Acacia_hereroensis,Fabaceae,Acacia_hereroensis_RL1332,Acacia_hereroensis_RL1332,Acacia_hereroensis_Engl.,10,0.2,0.05,4
acacia_karroo.shp,712,Acacia_karroo,Fabaceae,Acacia_karroo_OM3013,Acacia_karroo_OM3013,Acacia_karroo_Hayne,15,1,0.5,2
acacia_kirkii_kirkii_kirkii.shp,713,Acacia_kirkii_subsp._kirkii_var._kirkii,Fabaceae,Acacia_kirkii_RL1307,Acacia_kirkii_RL1307,Acacia_kirkii_Oliv.,15,0.5,0.1,5
acacia_kosiensis.shp,714,Acacia_kosiensis,Fabaceae,Acacia_kosiensis_RL1305,Acacia_kosiensis_RL1305,Acacia_kosiensis_P.P.Sw._,17,0.55,0.15,3.67
acacia_kraussiana.shp,715,Acacia_kraussiana,Fabaceae,Acacia_kraussiana_RL1287,Acacia_kraussiana_RL1287,Acacia_kraussiana_Benth.,6,2.3,0.8,2.88
acacia_luederitzii_retinens.shp,718,Acacia_luederitzii_var._retinens,Fabaceae,Acacia_luederitzii_retinens_RL1285,Acacia_luederitzii_retinens_RL1285,Acacia_luederitzii_var._retinens_(Sim)_J._Ross_&_Brenan,5,0.6,0.16,3.75
